case_id,module,priority,model_priority,legacy_priority,priority_final,priority_decision_state,priority_decision_source,priority_confidence,priority_conflict_reason,scene,judge_status,reject_reason,hit_confirmed_fact,hit_pending,hit_reuse_risk
TC-001,会员与权限治理,P2,P1,P2,P2,undetermined,conflict_resolved_by_insufficient_positive_evidence,medium,"model=P1,suggested=P2",普通用户访问权限：验证第1单元可免费试学，第2单元起显示VIP锁并跳转会员中心,PASS,-,False,False,False
TC-002,会员与权限治理,P1,P1,P1,P1,decided,model_p1_with_positive_evidence,medium,,游客批改权限拦截：验证游客点击批改后跳转至登录页,PASS,-,False,False,False
TC-003,会员与权限治理,P1,P1,P1,P1,decided,model_semantic_consistent,high,,验证AI辅导权限用户半小时内连续批改超过10次后触发禁用1小时并弹出对应Toast提示,PASS,-,True,False,False
TC-004,课程学习与环节交互,P1,P1,P1,P1,decided,model_p1_with_positive_evidence,medium,,验证技法巩固答题环节的题目内容根据上个环节教授的写作技法设计,PASS,-,False,False,False
TC-005,课程学习与环节交互,P1,P1,P1,P1,decided,model_p1_with_positive_evidence,medium,,验证课程环节页包含三大学习环节：审题立意、写作技法、技法巩固,PASS,-,False,False,False
TC-006,课程学习与环节交互,P1,P1,P1,P1,decided,model_p1_with_positive_evidence,medium,,环节解锁与状态判定：验证单环节获星≥1标记为已完成并点击直进，未获星标记为未完成已解锁,PASS,-,False,False,False
TC-007,课程学习与环节交互,P1,P1,P1,P1,decided,model_p1_with_positive_evidence,medium,,验证课程环节页支持非线性解锁，初始状态可自由跳转进入任意环节,PASS,-,False,False,False
TC-008,课程学习与环节交互,P1,P1,P1,P1,decided,model_p1_with_positive_evidence,medium,,验证已完成环节（获星≥1）标记为已完成，点击可直接进入,PASS,-,False,False,False
TC-009,课程学习与环节交互,P1,P1,P1,P1,decided,model_p1_with_positive_evidence,medium,,验证审题立意环节为看视频加答题形式，且交互与普通闯关模式一致,PASS,-,False,False,False
TC-010,课程学习与环节交互,P1,P1,P1,P1,decided,model_p1_with_positive_evidence,medium,,验证写作技法环节教授1-2个写作技法，完成答题可获得星星,PASS,-,False,False,False
