case_id,module,priority,scene,judge_status,reject_reason,pending_reason,violates_confirmed_fact,contains_pending_logic,missing_core_flow,missing_reuse_risk,confirmed_fact_hits,confirmed_fact_violations,reuse_risk_hits,pending_hits,before_case_snapshot,after_case_snapshot
TC-002,学习报告页,P1,验证学习报告页生成、分享与重新学习功能,REJECT,violates_confirmed_fact,,True,False,False,False,[],"[""过期规则：周日24:00后仅可查看，不可操作""]",[],[],"{""id"": ""TC-002"", ""description"": ""验证学习报告页生成、分享与重新学习功能"", ""test_module"": ""学习报告页"", ""preconditions"": [""用户已完成周末学习与测评"", ""生成了学习报告""], ""steps"": [""进入学习报告页"", ""查看报告内容（答题照片、AI规划等）"", ""点击‘分享’按钮，尝试分享至微信"", ""点击‘重新学习’（当前周在补做期内）"", ""点击‘返回首页’""], ""test_input"": ""分享、重新学习、返回首页操作"", ""expected_result"": ""1. 报告基于最新学习与测评数据自动生成。2. 分享功能正常，家长端查看为只读。3. 点击‘重新学习’后，周末任务重置为未开始状态。4. 点击‘返回首页’后，当前周的周末任务被标记为‘已完成’。"", ""priority"": ""P1""}",{}
TC-004,学习报告页,P2,验证学习报告页的答题照片区数量上限（最多20张）,PENDING,,contains_pending_logic,False,True,False,False,[],[],[],"[""待确认""]","{""id"": ""TC-004"", ""description"": ""验证学习报告页的答题照片区数量上限（最多20张）"", ""test_module"": ""学习报告页"", ""preconditions"": [""用户在一次学习或测评中产生了超过20张答题照片""], ""steps"": [""完成一次包含大量拍照题的学习任务"", ""进入生成的学习报告页"", ""查看答题照片展示区域""], ""test_input"": ""产生超过20张答题照片"", ""expected_result"": ""报告页的答题照片区应正确处理数量，例如：只展示最新的20张，或有分页/折叠机制，需求未明确，但需验证不会因超限导致崩溃或显示异常。（备注：具体处理方式待确认）"", ""priority"": ""P2""}",{}
TC-005,学习报告页,P2,验证学习报告分享功能权限：分享给微信好友（家长），对方仅能查看，无操作权限,REJECT,violates_confirmed_fact,,True,False,False,False,[],"[""过期规则：周日24:00后仅可查看，不可操作""]",[],[],"{""id"": ""TC-005"", ""description"": ""验证学习报告分享功能权限：分享给微信好友（家长），对方仅能查看，无操作权限"", ""test_module"": ""学习报告页"", ""preconditions"": [""用户已生成一份学习报告"", ""用户微信已登录""], ""steps"": [""在学习报告页点击“分享”按钮，选择“分享给微信好友”"", ""使用另一个模拟家长身份的微信账号接收并打开该报告链接"", ""在分享的报告页面尝试进行重新学习、返回首页等操作""], ""test_input"": ""学习报告分享链接"", ""expected_result"": ""1. 成功生成分享链接。2. 家长账号打开的报告页面为只读状态，所有可操作按钮（如重新学习、返回首页）均被隐藏或置灰，只能浏览报告内容。"", ""priority"": ""P2""}",{}
TC-006,学习报告页,P1,验证‘返回首页’操作对周末任务状态的标记：从学习报告页返回，首页对应周末任务标记为已完成,REJECT,violates_confirmed_fact,,True,False,False,False,[],"[""过期规则：周日24:00后仅可查看，不可操作""]",[],[],"{""id"": ""TC-006"", ""description"": ""验证‘返回首页’操作对周末任务状态的标记：从学习报告页返回，首页对应周末任务标记为已完成"", ""test_module"": ""学习报告页"", ""preconditions"": [""用户刚完成周末学习并停留在学习报告页"", ""首页的当前周周末任务状态为“进行中”或“待完成”""], ""steps"": [""在学习报告页，点击“返回首页”按钮"", ""返回首页，查看当前教学周周末任务的状态显示""], ""test_input"": ""点击“返回首页”操作"", ""expected_result"": ""返回首页后，当前教学周的周末任务状态应更新为“已完成”。"", ""priority"": ""P1""}",{}
TC-011,周末学习与测评,P2,验证批量操作的数据一致性：周末随堂测评多道题，部分拍照成功部分失败，提交全部后的状态,REJECT,violates_confirmed_fact,,True,False,False,False,[],"[""过期规则：周日24:00后仅可查看，不可操作""]",[],[],"{""id"": ""TC-011"", ""description"": ""验证批量操作的数据一致性：周末随堂测评多道题，部分拍照成功部分失败，提交全部后的状态"", ""test_module"": ""周末学习与测评"", ""preconditions"": [""用户处于周末随堂测评环节，有多道需要拍照上传的题目""], ""steps"": [""对第一道题拍照上传成功（AI判分）"", ""对第二道题拍照上传失败（如图片不符合要求）"", ""忽略失败的第二题，直接点击“提交全部”或类似按钮""], ""test_input"": ""混合成功与失败的拍照上传"", ""expected_result"": ""系统应提示用户有未成功提交的题目（如第二题），并阻止最终报告的生成，引导用户处理未完成的题目。已成功提交的第一题判分结果应被保存。"", ""priority"": ""P2""}",{}
TC-013,周末学习与测评,P1,验证随堂测评（打印-手写-拍照上传）全流程及错题归集,PENDING,,contains_pending_logic,False,True,False,False,[],[],[],"[""待确认""]","{""id"": ""TC-013"", ""description"": ""验证随堂测评（打印-手写-拍照上传）全流程及错题归集"", ""test_module"": ""周末学习与测评"", ""preconditions"": [""用户在进行周末课程的随堂测评"", ""科目为数学"", ""准备好手写答案的纸张""], ""steps"": [""进入随堂测评环节"", ""按照提示打印题目（或查看电子题）并手写作答"", ""点击‘拍照上传’按钮，拍摄手写答案"", ""提交照片"", ""等待OCR+AI判分""], ""test_input"": ""上传手写数学题的答案照片"", ""expected_result"": ""1. 系统成功OCR识别并AI判分。2. 判为错误的题目，自动归集到‘错题本’，且科目归类为‘定位学-数学’。3. 错题本中该题支持跨模块跳转回原测评上下文（待确认具体跳转逻辑）。"", ""priority"": ""P1""}",{}
TC-015,异常与边界,P2,验证无网络状态下，已加载的周中任务页面本地提交与后续同步,REJECT,violates_confirmed_fact,,True,False,False,False,[],"[""过期规则：周日24:00后仅可查看，不可操作""]",[],[],"{""id"": ""TC-015"", ""description"": ""验证无网络状态下，已加载的周中任务页面本地提交与后续同步"", ""test_module"": ""异常与边界"", ""preconditions"": [""用户已进入周中任务答题页面，题目数据已加载"", ""设备断开网络""], ""steps"": [""在断网状态下，完成题目并点击“提交”按钮"", ""观察页面反应和提示"", ""恢复网络连接"", ""查看提交的答案是否成功同步至服务器，错题是否已归档""], ""test_input"": ""断网状态、已答题的答案"", ""expected_result"": ""1. 断网提交时，系统应给出明确的网络异常提示（如“提交失败，请检查网络”），并保留用户已输入的答案。2. 恢复网络后，系统应能自动或在用户操作下（如重试）将答案提交至服务器，并完成AI判分与错题归档。"", ""priority"": ""P2""}",{}
TC-016,异常与边界,P2,验证当无薄弱点或无学习数据时，相关按钮置灰及兜底文案显示,REJECT,violates_confirmed_fact,,True,False,False,False,[],"[""过期规则：周日24:00后仅可查看，不可操作""]",[],[],"{""id"": ""TC-016"", ""description"": ""验证当无薄弱点或无学习数据时，相关按钮置灰及兜底文案显示"", ""test_module"": ""异常与边界"", ""preconditions"": [""新用户或用户在当前教学周无任何答题数据""], ""steps"": [""进入薄弱点列表页面"", ""进入周末课程推荐页面"", ""查看相关操作按钮（如‘去学习’、‘开始测评’）的状态""], ""test_input"": ""无学习数据状态"", ""expected_result"": ""1. 薄弱点列表显示兜底文案（如‘暂无薄弱知识点’）。2. 当无数据支撑推荐时，相关按钮应置灰不可点击，或点击后给出友好提示。"", ""priority"": ""P2""}",{}
TC-017,异常与边界,P1,验证网络异常时，系统通用提示与本地数据保留能力,REJECT,violates_confirmed_fact,,True,False,False,False,[],"[""过期规则：周日24:00后仅可查看，不可操作""]",[],[],"{""id"": ""TC-017"", ""description"": ""验证网络异常时，系统通用提示与本地数据保留能力"", ""test_module"": ""异常与边界"", ""preconditions"": [""用户正在操作一个需要网络请求的页面（如提交答案）"", ""可模拟网络断开""], ""steps"": [""在页面操作过程中（如点击提交），断开设备网络"", ""观察页面提示"", ""重新连接网络"", ""尝试重试原操作""], ""test_input"": ""模拟网络断开"", ""expected_result"": ""1. 出现通用网络异常提示（如‘网络连接失败’）。2. 页面已加载的本地数据（如已输入的答案、已缓存的题目）应保留，不丢失。3. 网络恢复后，支持重试失败的操作（如重新提交）。"", ""priority"": ""P1""}",{}
TC-018,异常与边界,P2,验证新用户首次进入时，无任何历史数据场景下各页面的兜底显示,REJECT,violates_confirmed_fact,,True,False,False,False,[],"[""过期规则：周日24:00后仅可查看，不可操作""]",[],[],"{""id"": ""TC-018"", ""description"": ""验证新用户首次进入时，无任何历史数据场景下各页面的兜底显示"", ""test_module"": ""异常与边界"", ""preconditions"": [""创建一个全新的付费用户账号"", ""该用户首次登录定位学系统并选择教材年级""], ""steps"": [""进入首页，查看教学周任务区域"", ""进入“我的错题”本"", ""进入“薄弱点列表”或“知识点掌握”页面"", ""查看“学习报告”页（历史周）""], ""test_input"": ""新用户无历史数据"", ""expected_result"": ""各页面应有友好的兜底文案和状态，例如：任务区域显示“本周暂无任务”或引导开始学习；错题本显示“暂无错题”；薄弱点列表显示“暂无薄弱知识点”；历史报告页为空或提示“暂无学习报告”。相关操作按钮状态合理（如可开始任务）。"", ""priority"": ""P2""}",{}
