case_id,case_type,workflow_signal_hit,ui_like_case,main_workflow_hit,preferred_pattern_hit,cross_page_state_transition,p1_uplifted,p2_cap,final_priority
TC-001,FLOW,False,False,False,False,False,False,False,P2
TC-002,FLOW,False,False,False,False,False,False,False,P2
TC-003,STATE,True,False,True,False,False,False,False,P2
TC-004,STATE,True,False,True,False,False,True,False,P2
TC-005,FLOW,False,False,False,False,False,False,False,P2
TC-006,STATE,True,False,False,False,True,False,False,P1
TC-007,STATE,True,False,True,False,True,False,False,P2
TC-008,FLOW,True,False,True,False,False,True,False,P2
TC-009,FLOW,True,False,False,False,True,False,False,P1
TC-010,FLOW,False,False,False,False,False,False,False,P1
TC-011,STATE,True,False,True,False,True,True,False,P2
TC-012,UI,True,False,False,False,True,False,False,P1
TC-013,FLOW,True,False,True,False,False,False,False,P2
TC-014,FLOW,True,False,True,False,True,True,False,P2
