case_id,module,priority,model_priority,legacy_priority,priority_final,priority_decision_state,priority_decision_source,priority_confidence,priority_conflict_reason,scene,judge_status,reject_reason,hit_confirmed_fact,hit_pending,hit_reuse_risk
TC-001,论坛首页,P1,P1,P1,P1,decided,model_semantic_consistent,high,,加载论坛首页并验证内容分区展示,PASS,-,False,False,False
TC-002,论坛首页,P2,P2,P2,P2,decided,model_semantic_consistent,high,,论坛首页通用悬浮按钮包含返回、关闭和刷新三种功能且已去掉原置顶黑条,PASS,-,False,False,False
TC-003,论坛首页,P1,P1,P1,P1,decided,model_p1_with_positive_evidence,medium,,论坛首页点击帖子框体进入帖子详情页，验证页面跳转与状态变化,PASS,-,False,False,False
TC-004,论坛首页,P1,P1,P1,P1,undetermined,conflict_resolved_by_core_business_rule,medium,"model=P1,suggested=P2",论坛首页和帖子详情页时间显示规则边界值验证：刚刚、N分钟前、N小时前、N天前、年-月-日,PASS,-,False,False,False
TC-005,论坛首页,P1,P1,P1,P1,decided,model_p1_with_positive_evidence,medium,,非官方账户在官方区发帖权限验证,PASS,-,False,False,False
TC-006,论坛首页,P2,P1,P2,P2,undetermined,conflict_resolved_by_non_blocking_experience_rule,medium,"model=P1,suggested=P2",论坛首页美术风格调整验证：背景主色调已调整，各模块UI样式已升级，页面美观度提升,PASS,-,False,False,False
TC-007,论坛首页,P2,P1,P2,P2,decided,p2_cap_guard,high,,从视频模块点击反馈按钮默认进入反馈区,PASS,-,False,False,False
TC-008,论坛首页,P2,P2,P2,P2,decided,model_semantic_consistent,high,,论坛首页点击发帖人头像打开用户详情弹窗,PASS,-,False,False,False
TC-009,论坛首页,P2,P2,P2,P2,decided,model_semantic_consistent,high,,论坛首页上拉到底部分批加载下一页内容,PASS,-,False,False,False
TC-010,论坛首页,P2,P2,P2,P2,decided,model_semantic_consistent,high,,论坛首页发帖图片按原图展示无白边、头像完整显示且发帖按钮维持原文案,PASS,-,False,False,False
