candidate_index,case_id,description,test_module,model_priority_current,selected_by_review_llm,selected_by_review_must_keep,selected_by_review_constraints,selected_by_review_gate,retained_final,dropped_stage,dropped_reason,review_llm_drop_reason_raw,review_llm_drop_reason,review_llm_drop_reason_source,review_llm_drop_reason_evidence,has_positive_evidence,has_coverage_signal,has_high_signal,has_competition_signal,review_constraint_reason,bucket,rule_keys,adds_rule,adds_bucket,high_signal,has_coverage_value,retained_reason,rerank_rank,focus_score,covered_rule_ids,missing_rule_hits,core_rule_hits,coverage_gain_score,signature
1,TC-001,验证系统入口与全局状态初始化：用户登录后，系统根据服务器时间自动定位当前教学周，并加载默认或上次使用的教材/年级数据。,全局控制与权限,P1,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,全局控制与权限|state,[],False,False,True,True,retained_due_to_coverage_value,24,1,"[""RULE-007"", ""RULE-009"", ""RULE-011""]",[],[],20,全局控制与权限|验证系统入口与全局状态初始化：用户登录后，系统根据服务器时间自动定位当前教学周，并加载默认或上次使用的教材/年级数据。|1. 页面成功加载。2. 当前教学周显示正确（基于服务器时间）。3. 教材/年级信息正确显示（若首次使用，需引导选择；若非首次，则显示上次选择项）。|无
2,TC-002,验证教材/年级切换功能：切换后，学习数据独立计数，且页面刷新显示新教材/年级下的当前周内容。,全局控制与权限,P1,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,全局控制与权限|state,[],False,False,True,True,retained_due_to_coverage_value,23,1,"[""RULE-007"", ""RULE-009"", ""RULE-011""]",[],[],20,全局控制与权限|验证教材/年级切换功能：切换后，学习数据独立计数，且页面刷新显示新教材/年级下的当前周内容。|1. 页面成功刷新。2. 页面顶部显示的教材/年级信息更新为切换后的选项。3. 加载并显示新教材/年级下当前教学周的学习任务和数据（应为初始或独立状态）。|切换教材/年级操作
3,TC-003,验证教学周切换与补做范围规则：可切换到当前周及上周进行补做，切换到更早的周仅能查看。,全局控制与权限,P1,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,全局控制与权限|state,[],False,False,True,True,retained_due_to_coverage_value,22,1,"[""RULE-009"", ""RULE-049""]",[],[],20,全局控制与权限|验证教学周切换与补做范围规则：可切换到当前周及上周进行补做，切换到更早的周仅能查看。|1. 可成功切换到第9周，页面显示该周内容，任务可操作（如：开始、提交）。2. 可成功切换到第8周，页面显示该周内容，但所有任务状态为‘仅可查看’，无操作按钮。3. 在第9周完成任务操作成功。4. 在第8周点击任务无响应或仅弹出查看详情弹窗。|切换教学周操作
4,TC-004,验证周日24:00后过期规则：过期周的任务状态变为仅可查看，不可进行任何学习操作。,全局控制与权限,P1,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,全局控制与权限|state,[],False,True,True,True,retained_default,9,1,"[""RULE-009"", ""RULE-014"", ""RULE-049""]",[],[],20,全局控制与权限|验证周日24:00后过期规则：过期周的任务状态变为仅可查看，不可进行任何学习操作。|1. 成功进入第9周页面。2. 所有任务状态显示为‘已完成’或‘已过期’，且无‘开始学习’、‘提交’等操作按钮。3. 点击任务仅能查看历史详情，无法进入学习或答题界面。|查看过期周内容
5,TC-005,验证未付费用户权限限制：未付费用户无法使用完整功能（如：无法查看薄弱点分析、无法进行周末专项学习等）。,全局控制与权限,P1,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,全局控制与权限|risk,[],False,True,True,True,retained_default,13,0,"[""RULE-004"", ""RULE-009"", ""RULE-049""]",[],[],20,全局控制与权限|验证未付费用户权限限制：未付费用户无法使用完整功能（如：无法查看薄弱点分析、无法进行周末专项学习等）。|1. 首页可能展示受限视图或提示付费。2. 点击核心功能按钮时，应弹出付费引导弹窗或提示无权限，无法进入相应页面。3. 无法开始新的学习任务，或任务区域被锁定。|未付费用户操作
6,TC-006,验证周中任务提交与AI即时判分流程：提交答案后，系统立即返回判分结果，并将错题归档至‘我的错题’。,任务与判分,P1,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,任务与判分|exception,[],False,True,True,True,retained_default,5,3,"[""RULE-015"", ""RULE-016""]",[],[],20,任务与判分|验证周中任务提交与ai即时判分流程：提交答案后，系统立即返回判分结果，并将错题归档至‘我的错题’。|1. 提交后，页面立即显示每道题的判分结果（对/错）。2. 答错的题目被自动添加到‘我的错题’本中，并按日期（当天）归档。3. 任务状态从‘待完成’变为‘已完成’。|提交包含错误的答案
7,TC-007,验证连续学习天数统计规则：每日完成学习则天数累加，中断一日则清零重新计算。,学习数据与统计,P1,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,学习数据与统计|happy,[],False,False,True,True,retained_due_to_coverage_value,26,0,"[""RULE-019""]",[],[],20,学习数据与统计|验证连续学习天数统计规则：每日完成学习则天数累加，中断一日则清零重新计算。|1. 初始连续学习天数为3。2. 当天完成任务后，连续学习天数更新为4（或次日凌晨更新）。3. 中断一天后，连续学习天数应清零，显示为0或1（取决于当天是否完成）。|完成与中断学习行为
8,TC-008,验证知识点掌握度计算与展示：基于本周答题情况，正确率高低对应‘薄弱/一般/熟练’三态。,学习数据与统计,P1,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,学习数据与统计|happy,[],False,True,True,True,retained_default,15,0,"[""RULE-019"", ""RULE-022""]",[],[],20,学习数据与统计|验证知识点掌握度计算与展示：基于本周答题情况，正确率高低对应‘薄弱/一般/熟练’三态。|1. 页面显示各知识点的掌握度（薄弱/一般/熟练）。2. 掌握度标签与本周该知识点的历史答题正确率匹配。3. 完成新题目后，掌握度应实时或接近实时地更新，反映最新的答题情况。|改变特定知识点的答题正确率
9,TC-009,验证周一习题本生成与三态逻辑：周一完成任务后自动生成，根据错题情况分为‘无/全对/有错题’。,学习数据与统计,P1,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,学习数据与统计|state,[],False,True,True,True,retained_default,10,1,"[""RULE-019"", ""RULE-023""]",[],[],20,学习数据与统计|验证周一习题本生成与三态逻辑：周一完成任务后自动生成，根据错题情况分为‘无/全对/有错题’。|1. 完成任务后，‘周一习题本’自动生成或变为可访问状态。2. 习题本的封面或标题处明确显示状态：若当日无任务则为‘无’；若任务全对则为‘全对’；若有错题则为‘有错题’。|周一完成学习任务
10,TC-010,验证薄弱点列表的生成与排序规则：列表基于错题生成，并按知识点名称、关联、错题数、掌握度排序，实时更新。,AI定位与推荐,P1,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,ai定位与推荐|happy,[],False,True,True,True,retained_default,19,0,"[""RULE-004"", ""RULE-024"", ""RULE-026""]",[],[],0,ai定位与推荐|验证薄弱点列表的生成与排序规则：列表基于错题生成，并按知识点名称、关联、错题数、掌握度排序，实时更新。|1. 列表按规则排序（如错题数降序）。2. 新产生的错题对应的知识点，其错题数、掌握度应更新，并在列表中的排序位置可能发生变化。3. 更新应是实时的或通过简单操作（如下拉刷新）后可见。|产生新的错题
