candidate_index,case_id,description,test_module,model_priority,model_priority_current,legacy_priority,priority_final,priority_decision_state,priority_decision_source,priority_confidence,priority_conflict_reason,priority_score,suggested_priority,priority_reasons,selected_by_review_llm,selected_by_review_must_keep,selected_by_review_constraints,selected_by_review_gate,retained_final,dropped_stage,dropped_reason,review_llm_drop_reason_raw,review_llm_drop_reason,review_llm_drop_reason_source,review_llm_drop_reason_evidence,has_positive_evidence,has_coverage_signal,has_high_signal,has_competition_signal,review_constraint_reason,bucket,rule_keys,adds_rule,adds_bucket,high_signal,has_coverage_value,retained_reason,rerank_rank,focus_score,covered_rule_ids,missing_rule_hits,core_rule_hits,coverage_gain_score,signature
1,TC-001,付费校验：未付费用户进入首页点击任意学习入口时弹出付费提示,首页 / 付费拦截,,P1,,,,,,,,,,False,False,False,False,False,review_llm,drop_not_selected_by_review_llm:coverage_protected_omitted,,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""首页 / 付费拦截|happy"", ""priority"": ""P1"", ""focus_score"": 0, ""coverage_gain_score"": -8, ""selected_case_ids"": [], ""selected_count_in_bucket"": 0, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": false, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-001"", ""RULE-003"", ""RULE-004"", ""RULE-035"", ""RULE-058"", ""RULE-083"", ""RULE-085"", ""RULE-086"", ""RULE-088"", ""RULE-089"", ""RULE-090"", ""RULE-091"", ""RULE-092"", ""RULE-093"", ""RULE-094"", ""RULE-107"", ""RULE-109""], ""reuse_risk_hit"": false}",True,True,True,False,dropped_by_target_max,首页 / 付费拦截|happy,[],False,False,False,False,,0,0,"[""RULE-001"", ""RULE-003"", ""RULE-004"", ""RULE-035"", ""RULE-058"", ""RULE-083"", ""RULE-085"", ""RULE-086"", ""RULE-088"", ""RULE-089"", ""RULE-090"", ""RULE-091"", ""RULE-092"", ""RULE-093"", ""RULE-094"", ""RULE-107"", ""RULE-109""]",[],[],-8,首页 / 付费拦截|付费校验：未付费用户进入首页点击任意学习入口时弹出付费提示|每次点击均弹出提示框，文案为：“开启完整学习体验。购买后即可解锁全部周中练习、周末提升和错题解析功能，开启你的定制化进步之路。”，且无法进入对应的学习页面|未付费用户点击学习入口
2,TC-002,首次使用教材年级选择：新用户强制选择教材版本+年级并保存为默认值,首页 / 教材年级选择,,P1,,,,,,,,,,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,首页 / 教材年级选择|happy,[],False,True,True,True,retained_default,3,0,"[""RULE-065"", ""RULE-086"", ""RULE-095"", ""RULE-096"", ""RULE-097"", ""RULE-098"", ""RULE-099"", ""RULE-100"", ""RULE-109"", ""RULE-113""]",[],"[""RULE-098""]",28,首页 / 教材年级选择|首次使用教材年级选择：新用户强制选择教材版本+年级并保存为默认值|弹窗关闭，页面自动加载三年级人教版当前教学周的数据；后续登录自动使用该默认值（无需再次选择）|选择教材版本=人教版，年级=三年级
3,TC-003,切换教材/年级后页面数据立即刷新且不同组合进度独立,首页 / 教材年级切换,,P1,,,,,,,,,,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,首页 / 教材年级切换|state,[],False,True,True,True,retained_default,1,1,"[""RULE-065"", ""RULE-087"", ""RULE-089"", ""RULE-092"", ""RULE-098"", ""RULE-101"", ""RULE-102"", ""RULE-104"", ""RULE-107"", ""RULE-109"", ""RULE-113"", ""RULE-118""]",[],"[""RULE-098""]",28,首页 / 教材年级切换|切换教材/年级后页面数据立即刷新且不同组合进度独立|每次切换后页面立即重新加载对应组合下当前周的数据；原组合的进度（已完成任务数、错题本等）不受影响；切回时恢复原有进度|切换至北师大版四年级，再切回人教版三年级
4,TC-004,教学周自动定位与切换：页面首次加载定位到当前教学周，顶部箭头可切换前/后周,首页 / 教学周切换,,P1,,,,,,,,,,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,首页 / 教学周切换|happy,[],False,True,True,True,retained_default,2,0,"[""RULE-065"", ""RULE-098"", ""RULE-101"", ""RULE-107"", ""RULE-109"", ""RULE-113""]",[],"[""RULE-098""]",28,首页 / 教学周切换|教学周自动定位与切换：页面首次加载定位到当前教学周，顶部箭头可切换前/后周|初始显示当前教学周（2026.04.07-13）；点击左箭头切换至上一周（2026.03.31-04.06），数据加载为历史周数据；点击右箭头回到当前周；若当前周是未来周（如点击次数过多），页面应合理限制或显示无数据|基于服务器时间=2026-04-08
5,TC-005,周中练习完整流程：从待完成到提交判分完成，状态更新且错题记录,周中练习 / 核心流程,,P1,,,,,,,,,,False,True,False,True,True,retained,retained,,,,{},False,False,False,False,,周中练习 / 核心流程|exception,[],False,True,True,True,retained_default,4,3,"[""RULE-058"", ""RULE-086"", ""RULE-087"", ""RULE-089"", ""RULE-092"", ""RULE-113"", ""RULE-118""]",[],[],20,周中练习 / 核心流程|周中练习完整流程：从待完成到提交判分完成，状态更新且错题记录|提交后ai即时判分，任务卡片状态变为“已完成”；首页任务状态更新；错题自动记录至对应日期的错题本（周一错题本）；“周一习题本”模块生成，显示统计数据（总题数20，正确数19，错误数1）以及首道错题详情|提交20道题，其中1道错误
6,TC-006,周中练习全对场景：提交后习题本显示鼓励文案,周一习题本 / 空状态-全对,,P2,,,,,,,,,,False,False,False,False,False,review_llm,drop_not_selected_by_review_llm:coverage_protected_omitted,coverage_redundant,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""周一习题本 / 空状态-全对|exception"", ""priority"": ""P2"", ""focus_score"": 2, ""coverage_gain_score"": 20, ""selected_case_ids"": [], ""selected_count_in_bucket"": 0, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": false, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-087"", ""RULE-092"", ""RULE-113""], ""reuse_risk_hit"": false, ""reason_from"": ""llm"", ""reason_adjusted_from"": ""coverage_redundant"", ""reason_adjusted_to"": ""coverage_protected_omitted"", ""reason_adjustment_rule"": ""llm_coverage_redundant_with_coverage_signal"", ""reason_origin"": ""llm""}",True,True,True,False,,周一习题本 / 空状态-全对|exception,[],False,False,True,False,,0,2,"[""RULE-087"", ""RULE-092"", ""RULE-113""]",[],[],20,周一习题本 / 空状态-全对|周中练习全对场景：提交后习题本显示鼓励文案|习题本模块显示“全部正确，太棒了！”等鼓励文案，不展示具体题目详情；统计数据正确（正确数=20，错误数=0）|20题全部正确
7,TC-007,周一习题本数据覆盖：重新学习后数据更新,周一习题本 / 重新学习覆盖,,P2,,,,,,,,,,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,周一习题本 / 重新学习覆盖|exception,[],False,True,True,True,retained_default,7,2,"[""RULE-089"", ""RULE-113"", ""RULE-118""]",[],[],20,周一习题本 / 重新学习覆盖|周一习题本数据覆盖：重新学习后数据更新|习题本数据被覆盖，显示全对文案；知识点掌握情况根据最新数据重新计算；历史周查看时也显示最新覆盖后的数据|第二次提交全部正确
8,TC-008,周末提升任务生成：首次查看周末界面时根据本周错题本生成任务,周末提升 / 任务生成,,P1,,,,,,,,,,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,周末提升 / 任务生成|state,[],False,True,True,True,retained_default,8,1,"[""RULE-087"", ""RULE-089"", ""RULE-101"", ""RULE-115"", ""RULE-118""]",[],[],20,周末提升 / 任务生成|周末提升任务生成：首次查看周末界面时根据本周错题本生成任务|周末提升任务自动生成并显示，状态为“待完成”；任务内容包含针对薄弱知识点的精讲视频和配套练习|本周错题本中有2道错题，涉及1个薄弱知识点
9,TC-009,AI薄弱点定位：数据按掌握度排序且可点击跳转错题本,薄弱点定位页 / 核心逻辑,,P1,,,,,,,,,,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,薄弱点定位页 / 核心逻辑|happy,[],False,True,True,True,retained_default,14,0,"[""RULE-004"", ""RULE-057"", ""RULE-068"", ""RULE-089"", ""RULE-113"", ""RULE-118""]",[],[],20,薄弱点定位页 / 核心逻辑|ai薄弱点定位：数据按掌握度排序且可点击跳转错题本|列表按掌握度从低到高排序（薄弱优先）；每个知识点显示名称、错题数、掌握度文字描述；点击后跳转至对应的“定位学-数学”错题本列表（按知识点筛选）|存在多个知识点：分数运算（35%，薄弱）、小数加减（60%，一般）、乘法口诀（90%，熟练）
10,TC-010,课程推荐无数据兜底：无薄弱点时按钮置灰且提示,课程推荐页 / 空状态,,P2,,,,,,,,,,False,False,False,False,False,review_llm,drop_not_selected_by_review_llm:coverage_protected_omitted,coverage_redundant,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""课程推荐页 / 空状态|state"", ""priority"": ""P2"", ""focus_score"": 1, ""coverage_gain_score"": 20, ""selected_case_ids"": [], ""selected_count_in_bucket"": 0, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": false, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-057"", ""RULE-087"", ""RULE-089"", ""RULE-113""], ""reuse_risk_hit"": false, ""reason_from"": ""llm"", ""reason_adjusted_from"": ""coverage_redundant"", ""reason_adjusted_to"": ""coverage_protected_omitted"", ""reason_adjustment_rule"": ""llm_coverage_redundant_with_coverage_signal"", ""reason_origin"": ""llm""}",True,True,True,False,,课程推荐页 / 空状态|state,[],False,False,False,False,,0,1,"[""RULE-057"", ""RULE-087"", ""RULE-089"", ""RULE-113""]",[],[],20,课程推荐页 / 空状态|课程推荐无数据兜底：无薄弱点时按钮置灰且提示|页面展示“暂无薄弱点，无法生成课程推荐”提示；“立即开始学习全套课程”按钮置灰不可点击|无有效薄弱点数据
