case_id,module,priority,model_priority,legacy_priority,priority_final,priority_decision_state,priority_decision_source,priority_confidence,priority_conflict_reason,scene,judge_status,reject_reason,hit_confirmed_fact,hit_pending,hit_reuse_risk
TC-001,交流区,P1,P1,P1,P1,decided,model_semantic_consistent,high,,交流区复用原交流模块-返回目标验证(无遗留旧页面跳转),PASS,-,False,False,False
TC-002,交流区,P2,P2,P2,P2,decided,p2_cap_guard,high,,回复的回复(二级评论)内容不支持添加图片验证,PASS,-,False,False,False
TC-003,交流区,P2,P2,P2,P2,decided,model_semantic_consistent,high,,帖子详情页侧边栏点赞消息显示最近点赞用户头像验证,PASS,-,False,False,False
TC-004,交流区,P2,P2,P2,P2,decided,p2_cap_guard,high,,交流区不从其他模块反馈入口跳转进入(与反馈区入口隔离验证),PASS,-,False,False,False
TC-005,交流区,P2,P2,P2,P2,decided,p2_cap_guard,high,,论坛首页交流区Tab入口导航与内容展示验证,PASS,-,False,False,False
TC-006,交流区,P1,P1,P1,P1,decided,model_p1_with_positive_evidence,medium,,交流区帖子点击用户头像打开用户详情弹窗验证,PASS,-,False,False,False
TC-007,交流区,P2,P2,P2,P2,decided,model_semantic_consistent,high,,交流区帖子列表用户信息展示验证(头像框/等级/地域学校),PASS,-,False,False,False
TC-008,交流区,P2,P2,P2,P2,decided,model_semantic_consistent,high,,发帖/回帖支持Unicode系统表情符号输入与显示验证,PASS,-,False,False,False
TC-009,交流区,P2,P2,P2,P2,decided,model_semantic_consistent,high,,交流区帖子时间显示规则边界验证(刚刚/分钟前/小时前/天前/年-月-日),PASS,-,False,False,False
TC-010,交流区,P2,P2,P2,P2,decided,model_semantic_consistent,high,,二级回复默认展示3条信息边界验证(恰好0/1/2/3/4条),PASS,-,False,False,False
