candidate_index,case_id,module,priority,scene,bucket,description,high_signal,has_coverage_value
6,TC-006,督导端,P1,state,督导端|state,督导端'完成判卷'按钮仅用于流程标记，不改变学情/状态，且不触发AI判分,False,True
20,TC-020,督导端,P1,happy,督导端|happy,督导端智能课堂：切片为周中刷题，按钮'申请拍照判题'可用,False,False
21,TC-021,督导端,P1,happy,督导端|happy,督导端单题错题集：拍照判题、可预览修改、点击完成判卷入错题本，不进行错题推荐,False,False
22,TC-022,新增数据模板,P2,happy,新增数据模板|happy,学习报表数据模板切换：课程名称可切换标准化章名与定位学模板,False,False
23,TC-023,异常与边界,P2,exception,异常与边界|exception,网络异常时保留已加载数据，提示通用错误，支持重试,True,False
24,TC-024,异常与边界,P2,happy,异常与边界|happy,无薄弱点/无学习数据时，对应按钮置灰并显示兜底文案,False,False
25,TC-025,跨模块联动,P1,state,跨模块联动|state,跨模块联动：首页工单台任务状态与定位学任务状态同步,False,False
26,TC-041,教材切换,P1,state,教材切换|state,教材/年级切换后数据独立计数验证：不同教材/年级下同一教学周的数据隔离,False,False
27,TC-042,周一习题本,P1,state,周一习题本|state,周一习题本自动生成时机验证：当日所有任务完成后立即生成,False,False
28,TC-043,错题本,P1,happy,错题本|happy,我的错题按日期归档展示：验证错题列表按日期降序排列，且周末课程包基于本周错题生成,False,False
29,TC-044,周末课程,P1,happy,周末课程|happy,周末课程包在周六凌晨自动生成：验证周六首次进入时课程包已存在且周六与周日内容相同,False,False
30,TC-045,周末学习,P1,happy,周末学习|happy,断点续播进度同步至首页：验证首页显示当前周末学习进度,False,False
31,TC-046,学习报告,P1,happy,学习报告|happy,随堂测评提交全部后生成的报告包含答题照片区（最多20张）与AI下一步规划,False,False
32,TC-047,重新学习,P1,state,重新学习|state,重新学习后周末任务状态重置为待完成,False,False
33,TC-048,学习报表,P1,happy,学习报表|happy,学习报表数据模板切换后模块/学习量等字段显示正确,False,False
34,TC-049,督导端,P1,state,督导端|state,督导端完成判卷不影响学情/状态：错题本不增加，知识点掌握度不变,False,True
35,TC-050,督导端单题错题集,P1,exception,督导端单题错题集|exception,单题错题集拍照判题后预览修改，点击完成判卷入错题本，且不触发错题推荐,True,False
36,TC-051,全局控制与权限,P1,exception,全局控制与权限|exception,付费校验异常：用户付费状态过期后，完整功能变为受限,True,False
37,TC-052,全局控制与权限,P2,happy,全局控制与权限|boundary,教学周自动定位边界：服务器时间跨周时，教学周自动切换到下一周,True,False
38,TC-053,全局控制与权限,P2,happy,全局控制与权限|boundary,补做范围边界：上周任务在补做期截止后（周一00:00）变为只读,True,False
39,TC-054,全局控制与权限,P2,happy,全局控制与权限|happy,教材/年级切换后教学周自动重置为当前周,False,False
40,TC-055,全局控制与权限,P2,happy,全局控制与权限|happy,付费用户进入定位学系统，所有核心功能入口可用,False,False
41,TC-056,全局控制与权限,P2,exception,全局控制与权限|exception,教材/年级选择时网络异常，页面保留当前选择并提示重试,True,False
42,TC-057,全局控制与权限,P1,exception,全局控制与权限|exception,付费校验网络异常：未付费用户进入付费功能时网络断开，保留当前页面并提示重试,True,False
43,TC-058,全局控制与权限,P1,exception,全局控制与权限|exception,教学周切换网络异常：切换教学周时网络断开，保留当前教学周显示并提示重试,True,False
