case_id,module,priority,model_priority,legacy_priority,priority_final,priority_decision_state,priority_decision_source,priority_confidence,priority_conflict_reason,scene,judge_status,reject_reason,hit_confirmed_fact,hit_pending,hit_reuse_risk
TC-001,官方区,P2,P2,P2,P2,decided,p2_cap_guard,high,,验证官方账号在官方区可以成功发帖,PASS,-,False,False,False
TC-002,官方区,P1,P1,P1,P1,decided,model_p1_with_positive_evidence,medium,,验证官方区帖子详情页返回按钮点击后正确返回论坛首页而非旧版公告页,PASS,-,False,False,False
TC-003,官方区,P2,P2,P2,P2,decided,p2_cap_guard,high,,验证官方区页面返回按钮采用通用悬浮样式，包含返回、关闭和刷新三种功能，不保留原置顶黑条,PASS,-,False,False,False
TC-004,官方区,P2,P2,P2,P2,decided,model_semantic_consistent,high,,验证官方区无帖子内容时的空状态展示,PASS,-,False,False,False
TC-005,官方区,P2,P2,P2,P2,decided,model_semantic_consistent,high,,验证官方区置顶帖展示官方图标、标题和发帖时间,PASS,-,False,False,False
TC-006,官方区,P2,P2,P2,P2,decided,p2_cap_guard,high,,验证官方区模块已从原【公告】更名为【官方区】，不保留旧版公告Tab或文案,PASS,-,False,False,False
TC-007,官方区,P2,P2,P2,P2,decided,p2_cap_guard,high,,验证普通用户在官方区无法发帖，点击发帖按钮时被限制,PASS,-,False,False,False
TC-008,反馈区,P1,P1,P1,P1,decided,model_semantic_consistent,high,,验证在视频模块点击反馈按钮后，默认进入论坛反馈区而非其他分区,PASS,-,False,False,False
TC-009,反馈区,P2,P2,P2,P2,decided,p2_cap_guard,high,,验证反馈区模块已从原【反馈】更名为【反馈区】，不保留旧版'反馈'Tab文案,PASS,-,False,False,False
TC-010,反馈区,P2,P2,P2,P2,decided,p2_cap_guard,high,,验证普通用户在反馈区可以正常发帖，不受官方区权限限制,PASS,-,False,False,False
TC-011,反馈区,P2,P2,P2,P2,decided,p2_cap_guard,high,,验证反馈区帖子详情页返回按钮点击后正确返回论坛首页反馈区，而非旧版反馈页,PASS,-,False,False,False
TC-012,反馈区,P2,P2,P2,P2,decided,p2_cap_guard,high,,验证反馈区页面返回按钮采用通用悬浮样式，包含返回、关闭和刷新功能，不保留原置顶黑条,PASS,-,False,False,False
TC-013,反馈区,P2,P2,P2,P2,decided,p2_cap_guard,high,,验证反馈区帖子列表下拉到顶部可加载上一页内容,PASS,-,False,False,False
TC-014,反馈区,P2,P2,P2,P2,decided,p2_cap_guard,high,,验证反馈区帖子列表的分批加载交互：上拉到底部加载下一页,PASS,-,False,False,False
TC-015,消息,P1,P0,P1,P1,undetermined,conflict_resolved_by_core_business_rule,medium,"model=P0,suggested=P2",验证帖子审核通过消息点击后跳转到对应的帖子详情页,PASS,-,False,False,False
TC-016,消息,P1,P0,P1,P1,undetermined,conflict_resolved_by_core_business_rule,medium,"model=P0,suggested=P2",验证帖子审核消息列表为空时显示缺省状态,PASS,-,False,False,False
TC-017,消息,P1,P0,P1,P1,undetermined,conflict_resolved_by_core_business_rule,medium,"model=P0,suggested=P2",验证用户发帖审核通过后，消息模块中生成审核通过消息，点击可跳转到对应帖子详情页,PASS,-,False,False,False
TC-018,消息,P1,P1,P1,P1,decided,model_semantic_consistent,high,,验证用户从论坛首页点击消息Tab可正常进入消息页面并展示回复、点赞和系统消息三个TAB分类,PASS,-,False,False,False
TC-019,消息,P2,P2,P2,P2,decided,p2_cap_guard,high,,验证用户在反馈区回复帖子后，帖子作者在消息模块的回复消息TAB中收到回复通知,PASS,-,False,False,False
