candidate_index,case_id,description,test_module,model_priority_current,dropped_stage,dropped_reason,bucket,has_coverage_value,high_signal,covered_rule_ids
9,TC-009,验证薄弱点列表的实时更新逻辑（当前周 vs 历史周）。,AI定位与推荐,P1,review_llm,drop_not_selected_by_review_llm,ai定位与推荐|happy,False,False,"[""RULE-004"", ""RULE-024"", ""RULE-026"", ""RULE-046""]"
10,TC-010,验证周末课程学习流程：断点续播与进度同步。,周末学习与测评,P1,review_llm,drop_not_selected_by_review_llm,周末学习与测评|happy,False,False,"[""RULE-028"", ""RULE-047""]"
16,TC-016,验证无任何薄弱点数据时，相关UI的兜底展示。,异常与边界,P2,review_llm,drop_not_selected_by_review_llm,异常与边界|happy,False,False,"[""RULE-049"", ""RULE-058""]"
18,TC-018,验证周末课程推荐内容在周六和周日的一致性。,任务与判分,P2,review_llm,drop_not_selected_by_review_llm:coverage_redundant,任务与判分|happy,False,False,"[""RULE-015"", ""RULE-027"", ""RULE-047""]"
19,TC-019,验证从错题本跳转至题目来源上下文的跨模块联动。,错题本与去重,P2,review_llm,drop_not_selected_by_review_llm:coverage_redundant,错题本与去重|happy,False,False,"[""RULE-039"", ""RULE-049"", ""RULE-062""]"
21,TC-021,验证学习报告页答题照片区最多显示20张的限制。,学习报告页,P2,review_llm,drop_not_selected_by_review_llm:low_value,学习报告页|happy,False,False,"[""RULE-032""]"
22,TC-023,验证周一习题本的数据作为本周学习数据池的输入，影响周度统计。,周一习题本下游,P1,review_llm,drop_not_selected_by_review_llm:coverage_redundant,周一习题本下游|happy,False,False,"[""RULE-036""]"
23,TC-024,验证在补做期内完成历史周学习后，学习报告的全量覆盖更新。,学习报告页,P2,review_llm,drop_not_selected_by_review_llm:coverage_redundant,学习报告页|happy,False,False,"[""RULE-032""]"
27,TC-028,验证周一习题本数据作为下游输入，正确累加至周度统计（完成题数与正确率）。,学习数据与统计,P1,review_llm,drop_not_selected_by_review_llm:coverage_redundant,学习数据与统计|happy,False,False,"[""RULE-019"", ""RULE-023"", ""RULE-046""]"
31,TC-032,验证历史数据保留周期与首页一致。,数据与状态规则,P2,review_llm,drop_not_selected_by_review_llm:low_value,数据与状态规则|happy,False,False,"[""RULE-005""]"
