case_id,module,priority,scene,judge_status,reject_reason,hit_confirmed_fact,hit_pending,hit_reuse_risk
TC-001,首页,P1,首页首次进入 - 付费校验：未付费用户点击学习入口（任务、课程、错题）时弹出购买提示,PASS,-,False,False,False
TC-002,首页,P2,首页安全校验 - 未登录用户直接访问首页URL应重定向至登录页,PASS,-,False,False,False
TC-003,首页,P1,首页付费状态 - 付费用户过期后，点击学习入口显示购买提示,PASS,-,False,False,False
TC-004,首页,P1,首页切换教材/年级 - 页面立即重新加载当前教学周下新组合的全部数据,PASS,-,False,False,False
TC-005,首页,P1,首页首次进入 - 教材年级选择弹窗强制弹出，选择后保存为默认,PASS,-,False,False,False
TC-006,首页,P1,首页切换教学周 - 查看历史周任务数据，支持补学待完成的任务,PASS,-,False,False,False
TC-007,周中练习,P1,周中练习 - 用户在AI判分完成前离开并返回，任务状态最终正确更新,PASS,-,False,False,False
TC-008,周中练习,P1,周中练习 - 全部题目答错（错误数=总题数），任务状态变为已完成，错题全部归集,PASS,-,False,False,False
TC-009,周中练习,P1,周中练习核心流程 - 用户完成任务提交后AI即时判分，任务状态变为已完成，错题自动归集,PASS,-,False,False,False
TC-010,周中练习,P1,周中练习 - AI判分服务异常，任务状态保持待完成，用户可重新提交,PASS,-,False,False,False
TC-011,周中练习,P1,周中练习 - 完成后当天连续学习天数立即增加（当天首次完成）,PASS,-,False,False,False
TC-012,周中练习,P1,周中练习 - 提交时部分题目未作答，系统阻止提交并提示完成全部,PASS,-,False,False,False
TC-013,周一习题本,P1,周一习题本 - 有错题时显示统计数据及首道错题详情,PASS,-,False,False,False
TC-014,周一习题本,P1,周一习题本 - 重新学习并提交后，数据覆盖更新,PASS,-,False,False,False
TC-015,周末提升,P1,周末提升任务生成 - 首次进入周末界面时，根据本周错题本由教研逻辑自动生成周末提升任务,PASS,-,False,False,False
TC-016,周末提升,P1,周末提升任务完成闭环 - 用户完成全部四步后任务标记为已完成,PASS,-,False,False,False
TC-017,周末提升-学习报告,P1,学习报告页面 - 基于学习数据生成报告，支持重新学习与返回首页,PASS,-,False,False,False
TC-018,拍照判题/随堂测评,P1,网络异常 - 拍照判题时网络失败，提示重试并保留已加载数据,PASS,-,False,False,False
TC-019,首页/周期管理,P1,周期切换 - 下周一的00:00系统自动切换到下一教学周，上周数据归档,PASS,-,False,False,False
TC-020,周末提升-课程推荐,P2,课程推荐页面 - 无有效薄弱点时显示兜底文案，按钮置灰,PASS,-,False,False,False
TC-021,周末提升-薄弱点定位,P1,薄弱点定位页面 - 加载当前周薄弱点列表，按掌握度从低到高排序,PASS,-,False,False,False
TC-022,首页/周末提升,P1,补做时间规则 - 上周任务在当前周补做期内可补做，更早历史周仅查看不可操作,PASS,-,False,False,False
