case_id,module,priority,model_priority,legacy_priority,priority_final,priority_decision_state,priority_decision_source,priority_confidence,priority_conflict_reason,scene,judge_status,reject_reason,hit_confirmed_fact,hit_pending,hit_reuse_risk
TC-008,作文批改,P2,P2,P2,P2,decided,p2_cap_guard,high,,上传图片后展示缩略小图，可删除、拖动排序、点击放大查看,REJECT,semantic_duplicate:TC-092,False,False,False
TC-010,作文批改,P2,P2,P2,P2,decided,model_semantic_consistent,high,,投稿页规则说明弹窗可配置关闭时不再弹出,REJECT,semantic_duplicate:TC-024,False,False,False
TC-024,作文批改（投稿）,P1,P1,P1,P1,decided,model_p1_with_positive_evidence,medium,,投稿页首次进入自动弹出规则说明弹窗，可配置；点击'我知道了'关闭,REJECT,semantic_duplicate:TC-039,False,False,False
TC-070,作文批改-投稿页,P2,P2,P2,P2,decided,model_semantic_consistent,high,,投稿页显隐原图按钮功能：默认显示原图，点击隐藏后照片不可见,PENDING,contains_pending_logic,False,True,False
TC-077,写作素材,P2,P2,P2,P2,decided,p2_cap_guard,high,,好词好句页面：按类型分组（好词、好句、好开头、好结尾），若无分组则不显示小分类名,PENDING,contains_pending_logic,False,True,False
TC-084,课程环节,P2,P2,P2,P2,decided,p2_cap_guard,high,,未解锁环节：点击弹出toast'完成前一节才可以解锁哦',REJECT,semantic_duplicate:TC-104,False,False,False
TC-086,作文批改-批改次数,P2,P2,P2,P2,decided,model_semantic_consistent,high,,批改次数上限（5次）后上传按钮不可用：验证同一主题批改次数达到5次后，上传按钮置灰并提示已达到上限,PENDING,contains_pending_logic,False,True,False
TC-094,作文批改-上传操作,P2,P2,P2,P2,decided,p2_cap_guard,high,,【去批改】按钮上方显示剩余批改次数,PENDING,contains_pending_logic,False,True,False
TC-105,写作素材-作文圈-分享,P2,P2,P2,P2,decided,p2_cap_guard,high,,分享H5页内容验证：点击分享至微信，H5页显示主标题、副标题、APP图标等要素,REJECT,semantic_duplicate:TC-052,False,False,False
TC-106,写作素材-好词好句,P2,P2,P2,P2,decided,p2_cap_guard,high,,好词好句分组显示：验证写作素材-好词好句页面按类型分组显示（好词、好句、好开头、好结尾），若无某类型则不显示小分类名,PENDING,contains_pending_logic,False,True,False
TC-107,课程列表,P2,P2,P2,P2,decided,model_semantic_consistent,high,,访问1-2年级（待定）课程时的表现,PENDING,contains_pending_logic,False,True,False
