candidate_index,case_id,description,test_module,model_priority_current,selected_by_review_llm,selected_by_review_must_keep,selected_by_review_constraints,selected_by_review_gate,retained_final,dropped_stage,dropped_reason,review_llm_drop_reason_raw,review_llm_drop_reason,review_llm_drop_reason_source,review_llm_drop_reason_evidence,has_positive_evidence,has_coverage_signal,has_high_signal,has_competition_signal,review_constraint_reason,bucket,rule_keys,adds_rule,adds_bucket,high_signal,has_coverage_value,retained_reason,rerank_rank,focus_score,covered_rule_ids,missing_rule_hits,core_rule_hits,coverage_gain_score,signature
1,TC-001,首页首次进入 - 付费校验：未付费用户点击学习入口（任务、课程、错题）时弹出购买提示,首页,P1,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,首页|happy,[],False,False,True,True,retained_due_to_coverage_value,22,0,"[""RULE-001"", ""RULE-003"", ""RULE-004"", ""RULE-035"", ""RULE-058"", ""RULE-083"", ""RULE-085"", ""RULE-086"", ""RULE-087"", ""RULE-088"", ""RULE-089"", ""RULE-090"", ""RULE-091"", ""RULE-092"", ""RULE-093"", ""RULE-094"", ""RULE-107""]",[],[],20,首页|首页首次进入 - 付费校验：未付费用户点击学习入口（任务、课程、错题）时弹出购买提示|页面弹出提示：“开启完整学习体验。购买后即可解锁全部周中练习、周末提升和错题解析功能，开启你的定制化进步之路。”；学习入口未被导航跳转|点击学习入口
2,TC-002,首页首次进入 - 教材年级选择弹窗强制弹出，选择后保存为默认,首页,P1,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,首页|happy,[],False,False,True,True,retained_due_to_coverage_value,15,0,"[""RULE-065"", ""RULE-086"", ""RULE-087"", ""RULE-097"", ""RULE-098"", ""RULE-103"", ""RULE-107"", ""RULE-109"", ""RULE-113""]",[],"[""RULE-098""]",28,首页|首页首次进入 - 教材年级选择弹窗强制弹出，选择后保存为默认|选择弹窗消失；系统将“人教版+三年级”保存为用户默认教材年级组合；页面加载当前教学周下该组合的数据|选择教材版本=人教版，年级=三年级
3,TC-003,首页后续进入 - 自动加载用户上次使用的教材年级与当前教学周,首页,P1,False,False,False,False,False,review_llm,drop_not_selected_by_review_llm:coverage_protected_omitted,coverage_redundant,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""首页|happy"", ""priority"": ""P1"", ""focus_score"": 0, ""coverage_gain_score"": 28, ""selected_case_ids"": [""TC-001"", ""TC-002"", ""TC-004""], ""selected_count_in_bucket"": 3, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": false, ""missing_rule_hits"": [], ""core_rule_hits"": [""RULE-098""], ""unique_coverage_hits"": [""RULE-001"", ""RULE-003"", ""RULE-004"", ""RULE-058"", ""RULE-065"", ""RULE-083"", ""RULE-096"", ""RULE-098"", ""RULE-099"", ""RULE-100"", ""RULE-107"", ""RULE-109""], ""reuse_risk_hit"": false, ""reason_from"": ""llm"", ""reason_adjusted_from"": ""coverage_redundant"", ""reason_adjusted_to"": ""coverage_protected_omitted"", ""reason_adjustment_rule"": ""llm_coverage_redundant_with_coverage_signal""}",True,True,True,False,,首页|happy,[],False,False,False,True,,0,0,"[""RULE-001"", ""RULE-003"", ""RULE-004"", ""RULE-058"", ""RULE-065"", ""RULE-083"", ""RULE-096"", ""RULE-098"", ""RULE-099"", ""RULE-100"", ""RULE-107"", ""RULE-109""]",[],"[""RULE-098""]",28,首页|首页后续进入 - 自动加载用户上次使用的教材年级与当前教学周|教材版本显示为人教版，年级显示为三年级；教学周显示为当前周（2026.04.07-13）；页面加载该组合下当前周的周中任务列表|无
4,TC-004,首页切换教材/年级 - 页面立即重新加载当前教学周下新组合的全部数据,首页,P1,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,首页|happy,[],False,True,True,True,retained_default,2,0,"[""RULE-065"", ""RULE-089"", ""RULE-098"", ""RULE-101"", ""RULE-102"", ""RULE-103"", ""RULE-104"", ""RULE-109"", ""RULE-113""]",[],"[""RULE-098""]",28,首页|首页切换教材/年级 - 页面立即重新加载当前教学周下新组合的全部数据|页面立即刷新，加载北师大版四年级在当前教学周的任务数据；原有的任务进度、错题等数据不混入新组合；不同组合间数据独立|切换教材=北师大版，年级=四年级
5,TC-005,首页切换教学周 - 查看历史周任务数据，支持补学待完成的任务,首页,P1,False,True,False,True,True,retained,retained,,,,{},False,False,False,False,,首页|state,[],False,False,True,True,retained_default,17,1,"[""RULE-087"", ""RULE-101"", ""RULE-107"", ""RULE-113"", ""RULE-115"", ""RULE-116"", ""RULE-117"", ""RULE-118""]",[],[],20,首页|首页切换教学周 - 查看历史周任务数据，支持补学待完成的任务|页面显示历史周（2026.03.31-04.06）的任务数据；补学完成后，该任务状态更新为“已完成”，统计数据中该历史周的完成数、正确率等实时更新|查看更多周次->上一周
6,TC-006,周中练习核心流程 - 用户完成任务提交后AI即时判分，任务状态变为已完成，错题自动归集,周中练习,P1,False,True,False,True,True,retained,retained,,,,{},False,False,False,False,,周中练习|exception,[],False,False,True,True,retained_default,16,3,"[""RULE-086"", ""RULE-087"", ""RULE-089"", ""RULE-092"", ""RULE-118""]",[],[],20,周中练习|周中练习核心流程 - 用户完成任务提交后ai即时判分，任务状态变为已完成，错题自动归集|ai即时判分成功；该任务状态变为“已完成”；错题自动归集至对应日期的错题本（如“周二错题本”）并关联至“定位学-数学”；首页当天任务卡片显示为已完成|提交20题答案，其中错误1题
7,TC-007,周末提升任务生成 - 首次进入周末界面时，根据本周错题本由教研逻辑自动生成周末提升任务,周末提升,P1,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,周末提升|state,[],False,False,True,True,retained_due_to_coverage_value,21,1,"[""RULE-057"", ""RULE-068"", ""RULE-087"", ""RULE-089"", ""RULE-092"", ""RULE-107"", ""RULE-113"", ""RULE-118""]",[],[],20,周末提升|周末提升任务生成 - 首次进入周末界面时，根据本周错题本由教研逻辑自动生成周末提升任务|系统自动调用教研逻辑，根据本周错题本生成周末提升任务；页面展示四步流程，第一步薄弱点定位显示知识点列表（按掌握度从低到高排序），任务状态为待完成|点击周末提升
8,TC-008,周末提升任务完成闭环 - 用户完成全部四步后任务标记为已完成,周末提升,P1,False,True,False,True,True,retained,retained,,,,{},False,False,False,False,,周末提升|state,[],False,True,True,True,retained_default,6,1,"[""RULE-057"", ""RULE-058"", ""RULE-087"", ""RULE-089"", ""RULE-118""]",[],[],20,周末提升|周末提升任务完成闭环 - 用户完成全部四步后任务标记为已完成|所有步骤状态标记为已完成；返回首页后，周末提升任务卡片状态更新为“已完成”；连续学习天数增加；知识点掌握度根据学习结果更新|完成完整周末提升流程
9,TC-009,周期切换 - 下周一的00:00系统自动切换到下一教学周，上周数据归档,首页/周期管理,P1,True,False,False,True,True,retained,retained,,,,{},False,False,False,False,,首页/周期管理|state,[],False,True,True,True,retained_default,10,1,"[""RULE-065"", ""RULE-087"", ""RULE-101"", ""RULE-107"", ""RULE-111"", ""RULE-113"", ""RULE-115"", ""RULE-116"", ""RULE-118""]",[],[],20,首页/周期管理|周期切换 - 下周一的00:00系统自动切换到下一教学周，上周数据归档|教学周自动变为下一周（如2026.04.08-14）；新周周中任务初始状态均为待完成；上周任务数据已归档，可通过切换周次查看；上周待完成的任务可补学|服务器时间自动跨越至下周一00:00
10,TC-010,连续学习天数计算 - 从最近一天向前追溯，当天有任务完成则+1，否则次日清零,首页/统计,P1,False,False,False,False,False,review_llm,drop_not_selected_by_review_llm:coverage_protected_omitted,low_value,coverage_protected_omitted,deterministic_backfill,"{""bucket"": ""首页/统计|happy"", ""priority"": ""P1"", ""focus_score"": 0, ""coverage_gain_score"": -8, ""selected_case_ids"": [], ""selected_count_in_bucket"": 0, ""has_positive_evidence"": true, ""has_coverage_signal"": true, ""has_high_signal"": true, ""has_competition_signal"": false, ""missing_rule_hits"": [], ""core_rule_hits"": [], ""unique_coverage_hits"": [""RULE-092""], ""reuse_risk_hit"": false, ""reason_from"": ""llm"", ""reason_adjusted_from"": ""low_value"", ""reason_adjusted_to"": ""coverage_protected_omitted"", ""reason_adjustment_rule"": ""llm_low_value_with_coverage_signal""}",True,True,True,False,,首页/统计|happy,[],False,False,False,False,,0,0,"[""RULE-092""]",[],[],-8,首页/统计|连续学习天数计算 - 从最近一天向前追溯，当天有任务完成则+1，否则次日清零|周三完成后连续天数显示为3；周四无任务完成；周五首次进入时连续天数重置为0|连续完成三天任务，第四天无任务
